source_id,date_extracted,target_variable,extracted_claim_text,quantified_value,unit,assessor_notes
epoch_compute_2026,2026-06-29,compute_growth_x_per_year,"Compute capacity doubling every 6.8 months, approximated as 3.4x per year effective growth.",3.4,x/year,"Direct baseline for compute growth; hardware and supply-chain limits remain uncertain."
epoch_algorithmic_efficiency_2026,2026-06-29,algorithmic_efficiency_oom_per_year,"Pre-training efficiency improves near 3.0x/year, roughly 0.5 OOM/year.",0.5,OOM/year,"Used as the center of the lognormal algorithmic efficiency parameter."
metr_time_horizon_2026,2026-06-29,agent_task_horizon_doubling_months,"Frontier model task horizons approximately double every 7 months.",7,months,"Primary long-horizon agent reliability trend."
metr_time_horizon_2026,2026-06-29,current_autonomous_horizon_hours,"Time Horizon 1.1 style tracking suggests median task horizon around 14.5 hours in early 2026.",14.5,hours,"Used as the mode of current autonomous horizon."
swe_pro_deng_2025,2026-06-29,current_swe_bench_pro_score,"SWE-bench Verified is treated as contaminated; SWE-bench Pro-style uncontaminated tasks become the preferred coding benchmark.",0.459,fraction,"Starter score placeholder; replace with dated leaderboard export."
swe_pro_deng_2025,2026-06-29,swe_bench_automation_threshold,"Strong coding automation is represented by at least 85% success on an uncontaminated multi-repo benchmark.",0.85,fraction,"Threshold criterion for Stage 1 automated coder."
metr_nanogpt_2026,2026-06-29,ai_rd_automation_fraction,"NanoGPT speedrun evidence suggests agents contributed shallow improvements, but deep invention remains human-led.",0.25,fraction,"Models early AI R&D automation plateau."
apple_picking_2026,2026-06-29,rd_diminishing_returns_beta,"Apple-picking/tortoise-hare dynamics imply diminishing returns after low-hanging improvements are automated.",0.65,unitless,"Difficulty exponent is sampled broadly because this is theoretical."
kwa_timelines_2026,2026-06-29,ai_rd_automation_threshold,"Simpler timelines models focus on the transition toward majority automation of AI R&D workflows.",0.50,fraction,"Routine AI R&D automation stage threshold."
lab_statements_2026,2026-06-29,ai_rd_integration_lag_months,"Frontier lab statements imply nonzero deployment and workflow-integration delays even when models are capable.",9,months,"Starter operational lag for integrating AI R&D agents."
anthropic_rsi_2026,2026-06-29,research_taste_acquisition_lag_months,"RSI framing distinguishes AI-assisted research from autonomous recursive self-improvement.",10,months,"Gamma-distributed waiting time for superhuman research taste."
sakanai_rsi_2026,2026-06-29,research_taste_acquisition_lag_months,"AI scientist and RSI-lab demonstrations suggest open-ended improvement architectures, but not yet frontier-scale autonomy.",8,months,"Supports a skewed lag rather than immediate takeoff."
ai_futures_2025,2026-06-29,recursive_progress_lag_months,"AI Futures timeline updates shift medians toward the early 2030s due to data bottlenecks and recursive friction.",10,months,"Informs Stage 5 lag from SAR to internal ASI."
epoch_frontier_datacenters_2026,2026-06-29,infrastructure_friction_months,"Frontier data center buildout and max-cluster constraints impose physical friction on capability deployment.",6,months,"Stage 6 infrastructure friction."
ai_diffusion_rule_2026,2026-06-29,export_control_delay_months,"U.S. AI Diffusion Rule and UVEU/NVEU restrictions create public deployment and compute friction.",2,months,"Stage 7 public deployment lag component."
eo_14110_2023,2026-06-29,governance_delay_months,"Frontier-model reporting and governance patchwork can induce standard or severe public release delays.",3,months,"Bimodal governance delay first mode."
metr_monitorability_2026,2026-06-29,safety_pause_lag_months,"Monitorability and red-team evaluations imply nonzero pre-deployment safety delay.",3,months,"Stage 7 safety pause lag."
metaculus_agi_2026,2026-06-29,metaculus_agi_median,"Crowd forecasts for AGI cluster in the early 2030s, depending on definition.",2033-06,date,"External calibration only; not structurally ingested."
ai_impacts_2026,2026-06-29,ai_impacts_median,"Expert surveys often place high probability mass before 2035 for AGI-like milestones.",2033-01,date,"External calibration only; definition-dependent."
bio_anchors_cotra_2022,2026-06-29,baseline_agi_flop_requirement,"Bio Anchors uses biological compute anchors as broad AGI timeline constraints.",1e34,FLOP,"Contextual bounding parameter; not directly ingested in v0.3 structural engine."

