param_name,value,units,regime,source_id,source_url,source_quote,justification_summary
effective_compute_growth_x_per_year,3.8,x/year,baseline,Epoch_Trends_2026,https://epoch.ai/trends,Training compute for frontier LMs grows ~5x/year; frontier physical compute ~3.8x/year adjusted for hardware price-performance.,"Central frontier compute-growth prior (asi.txt Q2), anchored to Epoch trends."
algorithmic_efficiency_x_per_year,3.0,x/year,baseline,Epoch_AlgoProg_LM,https://epoch.ai/publications/algorithmic-progress-in-language-models,"Compute needed for fixed LM performance halves every ~8 months (95% CI 5-14), i.e. ~3x/year effective.",Foundational pre-training efficiency (asi.txt Q3); excludes transient test-time gains.
agent_time_horizon_doubling_months,7,months,baseline,METR_TH_1_1,https://metr.org/blog/2026-1-29-time-horizon-1-1/,50% time-horizon doubling ~7 months (2019-2024); a fit to 2024-2025 models gives ~3.5-4 months.,"METR time-horizon trend; 7mo mode is the long-run rate, not the recent steeper one."
current_agent_task_horizon_hours,8,hours,conservative,METR_HCAST,https://apiardata.com/statistics/ai-autonomous-task-horizon/,"9 seconds (GPT-3, 2020) to 14.5 hours (Claude Opus 4.6, Feb 2026), roughly doubling every 7 months.",Mode 8h is conservative vs the 14.5h Feb-2026 point estimate; wide range 2-40h.
coding_automation_threshold_human_hours,320,human-hours,weak_prior,asi_txt_Q5,https://www.morphllm.com/swe-bench-pro,SWE-bench Pro is the uncontaminated standard; ~85% resolution ~= strong economic automation.,WEAK: hours proxy pending a SWE-bench-Pro-percent to time gate (deferred).
general_capability_lag_after_coding_months,4,months,aggressive,SituationalAwareness,https://situational-awareness.ai/from-gpt-4-to-agi/,Code enables tool-use and self-scaffolding; lag ~ half a training generation.,AGGRESSIVE compression of the coding->generality lag (asi.txt Q7).
agi_integration_lag_months,6,months,baseline,LabStatements_2026,https://www.anthropic.com/institute/recursive-self-improvement,Frontier lab statements imply nonzero deployment/workflow-integration delays even when models are capable.,Operational integration lag before broad AGI-level use.
ai_rnd_automation_lag_after_agi_months,2,months,stress_test,Anthropic_RSI_Sakana,https://www.anthropic.com/institute/recursive-self-improvement,AI-driven code tasks at Anthropic double in length every ~4 months; Sakana AI Scientist runs full ML research loops overnight with ~3.5h human oversight.,STRESS-TEST at the steep end of observed research-loop acceleration; NOT a direct point estimate (perplexity #3). Baseline alternative = 12 months.
superhuman_ai_researcher_lag_months,3,months,stress_test,Anthropic_RSI_Sakana,https://sakana.ai/ai-scientist-nature/,No source states '2-3 months to superhuman'; framed as aggressive extrapolation from ~4-month task-horizon doublings and overnight research pipelines.,STRESS-TEST fast-takeoff scenario (perplexity #3). Baseline alternative = 12 months.
takeoff_lag_months,6,months,aggressive,Davidson_FTM,https://takeoffspeeds.com/reports.html,"Aggressive FTM distribution: 20%->100% R&D automation window ~2.3-4.2 years, almost fully overlapping the AGI year.",AGGRESSIVE takeoff (asi.txt Q10 / FTM aggressive branch). Main FTM branch is ~6 years.
infrastructure_friction_months,24,months,baseline,DataCenter_GridQueue_2026,https://www.barakandbrazos.com/post/why-data-center-projects-in-the-usa-are-delayed-2026-key-reasons-data-industry-impact,Grid interconnection queues commonly 36-60 months; switchgear lead times 40-60 weeks.,"WELL-SOURCED physical floor on internal ASI (asi.txt Q12, high confidence)."
phase_overlap_coefficient,0.65,fraction,baseline,Davidson_FTM,https://takeoffspeeds.com/reports.html,Overlapping 20-100% R&D and economic-automation windows cover well over half of their union (~0.5-0.8 band).,~two-thirds overlap of the cognitive automation epoch (perplexity #2).
compute_governance_friction_months,3,months,baseline,BIS_ExportControls,https://www.rand.org/pubs/perspectives/PEA3776-1.html,Tier-1 US labs bypass strict export controls via National Validated End User exemptions; domestic power permitting is the main friction.,Minimal internal-capability friction (asi.txt Q14).
deployment_governance_delay_months,6,months,baseline,Anthropic_RSP_v3,https://www.governance.ai/analysis/anthropics-rsp-v3-0-how-it-works-whats-changed-and-some-reflections,RSP v3.0 removed unconditional hard pauses; safety testing / red-teaming imposes ~3-12 month pre-release delays.,Public deployment review delay (public ASI only).
secrecy_visibility_delay_months,9,months,baseline,NatSec_RAND,https://www.rand.org/pubs/perspectives/PEA3776-1.html,National-security classification of a frontier ASI plausibly withholds public visibility 6-24 months.,Public-visibility delay (does not slow internal capability).
task_horizon_double_count_dampening_exponent,0.5,dimensionless,conservative,METR_TH_1_1,https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/,METR implies a near-unit elasticity (~10x effective compute -> ~10x horizon); we down-weight to 0.5 (10x -> ~3.2x).,CONSERVATIVE robustness prior below METR's implied elasticity (perplexity #1). NOTE: engine exponent semantics differ from asi.txt Q1.
long_tail_sigma,0.76,dimensionless,baseline,ESPAI_XPT,https://wiki.aiimpacts.org/ai_timelines/predictions_of_human-level_ai_timelines/ai_timeline_surveys/2023_expert_survey_on_progress_in_ai,"sigma = [ln(14)-ln(2)]/2.5631 = 0.76 from p10=2028, p90=2040 (superforecaster/expert fat tail).",Long-tail width fitted to external distributions (asi.txt Q13).
correlation_compute_algo,0.35,dimensionless,baseline,Epoch_AlgoProg,https://epoch.ai/publications/revisiting-algorithmic-progress,"~45% compute, ~45% algorithms, ~10% data (CV); >75% of algorithmic progress is compute-augmenting -> positive coupling.",Moderate POSITIVE prior; below the near-unity coupling implied by effective-compute framing (perplexity #5).
correlation_compute_doubling,-0.70,dimensionless,mechanical,METR_TH_1_1,https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/,Near-linear relation between log(effective FLOP) and log(task horizon): faster compute growth compresses the doubling time.,MECHANICAL negative (faster compute -> SMALLER doubling-months). This is NOT the compute-vs-algo -0.70 stress-test in perplexity #5.
correlation_algo_doubling,-0.55,dimensionless,mechanical,Epoch_Trends_2026,https://epoch.ai/trends,Algorithmic efficiency (~3x/year) shortens the effective doubling time alongside compute.,MECHANICAL negative (faster algo -> smaller doubling-months).
external_hlmi_median_year,2047,year,external,ESPAI_2023_HLMI,https://wiki.aiimpacts.org/ai_timelines/predictions_of_human-level_ai_timelines/ai_timeline_surveys/2023_expert_survey_on_progress_in_ai,"2023 ESPAI aggregate (gamma CDF, 1714 responses): 50% chance of HLMI by 2047 (down from 2060 in 2022).",EXTERNAL benchmark; the model's ~2031 AGI is ~16 years EARLIER than the ESPAI HLMI median.
external_faol_median_year,2116,year,external,ESPAI_2023_FAOL,https://wiki.aiimpacts.org/ai_timelines/predictions_of_human-level_ai_timelines/ai_timeline_surveys/2023_expert_survey_on_progress_in_ai,2023 ESPAI (774 responses): 50% chance of full automation of labor by 2116.,EXTERNAL benchmark for full automation; far later than the model.
bioanchors_median_tai_year,2052,year,external,Cotra_2020_BioAnchors,https://epoch.ai/publications/grokking-bioanchors,"Bio Anchors: P(TAI<2030)~8%, P(<2050)~47%, P(<2100)~78%; quantiles 10% 2031, 50% 2052, 90% >2100.","EXTERNAL benchmark; the model's ~2031 AGI sits at Bio Anchors' 10% (early) edge, not its median."
